device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,1.000000,121,122,123.551000,95.355278,0.771789,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,1.000000,121,122,123.871000,223.523930,1.804490,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,1.000000,121,122,125.640500,261.647447,2.082509,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,48,1.000000,121,122,124.379000,125.262590,1.007104,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,48,1.000000,121,122,124.683000,310.608294,2.491184,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,48,1.000000,121,122,127.915000,358.597526,2.803405,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,64,1.000000,121,122,129.623000,139.291008,1.074586,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,64,1.000000,121,122,129.221000,400.089715,3.096166,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,64,1.000000,121,122,130.779000,469.435511,3.589533,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,1,1.000000,144,145,129.545500,64.536874,0.498179,ok,32,1280,16,4.000000,1.000000,80,4,10,5
