device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,0.094056,6.024,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,0.141382,52.514,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,0.098109,117.155,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,0.118732,95.005,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,0.145078,114.934,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,0.217676,132.827,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,0.162005,98.052,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,0.226259,126.270,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,0.360012,150.881,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,0.161648,101.177,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,0.272989,139.145,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,0.460386,168.854,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,0.210524,104.302,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,0.338197,150.105,ok,32,1280,16,4.0,1.0,80,4
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,0.618815,186.827,ok,32,1280,16,4.0,1.0,80,4
