device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,1.000000,121,122,0.452995,106.927,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,1.000000,121,122,0.893354,159.621,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,1.000000,121,122,1.715541,200.717,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,48,1.000000,121,122,0.658870,114.490,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,48,1.000000,121,122,1.378417,188.215,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,48,1.000000,121,122,2.507448,245.233,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,64,1.000000,121,122,0.876784,122.052,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,64,1.000000,121,122,1.807094,220.434,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,64,1.000000,121,122,3.253341,287.436,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,1,1.000000,144,145,0.106215,15.321,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,1,1.000000,144,145,0.161171,54.271,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,1,1.000000,144,145,0.130177,118.290,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,8,1.000000,144,145,0.223637,96.490,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,8,1.000000,144,145,0.340581,119.426,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,8,1.000000,144,145,0.532150,141.768,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,16,1.000000,144,145,0.328064,100.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,16,1.000000,144,145,0.627160,137.090,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,16,1.000000,144,145,1.014352,165.913,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,24,1.000000,144,145,0.439286,105.302,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,24,1.000000,144,145,0.938177,154.301,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,24,1.000000,144,145,1.604080,191.432,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,32,1.000000,144,145,0.542164,110.552,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,32,1.000000,144,145,1.204967,172.434,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,32,1.000000,144,145,2.001882,218.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,48,1.000000,144,145,0.753045,118.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,48,1.000000,144,145,1.801610,204.387,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,48,1.000000,144,145,3.080845,267.928,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,64,1.000000,144,145,0.969291,128.302,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,64,1.000000,144,145,2.398729,238.402,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,64,1.000000,144,145,3.806829,318.842,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,1,1.000000,169,170,0.107288,15.418,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,1,1.000000,169,170,0.159502,54.514,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,1,1.000000,169,170,0.129938,118.886,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,8,1.000000,169,170,0.228643,97.083,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,8,1.000000,169,170,0.401258,122.629,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,8,1.000000,169,170,0.614166,146.256,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,16,1.000000,169,170,0.340223,102.365,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,16,1.000000,169,170,0.792503,143.934,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,16,1.000000,169,170,1.205802,174.702,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,24,1.000000,169,170,0.450134,107.646,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,24,1.000000,169,170,0.972986,163.895,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,24,1.000000,169,170,1.743078,204.897,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,32,1.000000,169,170,0.674486,113.724,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,32,1.000000,169,170,1.352668,184.434,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,32,1.000000,169,170,2.344131,236.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,48,1.000000,169,170,0.883698,123.685,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,48,1.000000,169,170,1.901984,222.434,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,48,1.000000,169,170,3.596663,294.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,64,1.000000,169,170,1.193523,134.052,ok,32,1280,16,4.0,1.0,80,4
